하바, 99, 198
아차, 84, 141
가다, 92, 153
다카, 74, 142
마자, 69, 177
나아, 45, 188
타나, 94, 149
마라, 69, 154
타자, 88, 175
다가, 50, 143
차가, 47, 161
라나, 99, 159
자자, 73, 184
자하, 99, 186
사타, 44, 141
라라, 65, 165
하나, 55, 167
파아, 54, 151
가다, 83, 166
다하, 99, 152
라아, 85, 176
카라, 95, 190
가타, 59, 197
다다, 83, 151
사카, 72, 166
라다, 85, 184
바자, 65, 196
파사, 91, 155
다카, 73, 171
자자, 84, 168
차아, 75, 150
나타, 79, 141
가가, 53, 185
하파, 54, 158
가자, 83, 160
바마, 65, 161
나하, 97, 150
가다, 65, 182
가다, 64, 196
차자, 88, 179
하파, 51, 167
라타, 41, 197
바나, 55, 159
아카, 87, 154
사사, 62, 152
하카, 70, 172
나차, 45, 163
라파, 74, 189
바가, 52, 160
차사, 73, 146
파바, 41, 185
타사, 77, 173
자타, 58, 163
다카, 81, 165
바라, 77, 163
카차, 91, 146
아나, 83, 146
사차, 86, 192
카다, 72, 199
라파, 42, 140
나카, 96, 183
마카, 64, 186
사나, 41, 149
나다, 70, 165
사라, 90, 183
카카, 54, 183
다파, 72, 197
아사, 90, 150
라하, 49, 168
사하, 51, 147
하타, 95, 183
마타, 71, 199
다가, 76, 147
마아, 42, 198
카마, 47, 164
바타, 66, 146
타자, 51, 150
자파, 42, 144
타사, 49, 187
사다, 85, 196
타사, 81, 178
사바, 75, 150
타라, 65, 163
마아, 75, 157
카하, 88, 158
타가, 89, 176
나자, 44, 193
다타, 99, 142
카아, 53, 140
카파, 77, 152
하나, 89, 184
카다, 95, 158
마아, 48, 159
라가, 79, 156
하마, 50, 186
가차, 98, 159
자라, 72, 160
사아, 76, 184
라라, 83, 145
마나, 81, 157
나바, 92, 169
마나, 52, 177
하바, 79, 186
마가, 86, 197
사카, 96, 157
라다, 93, 193
타가, 80, 160
가가, 82, 180
하라, 58, 159
하타, 98, 194
아바, 96, 193
다파, 75, 166
아나, 79, 169
파마, 53, 194
마하, 77, 166
파파, 66, 164
라파, 45, 144
아가, 44, 166
타다, 87, 185
가라, 74, 169
자타, 46, 167
카바, 41, 166
아다, 42, 195
바나, 91, 141
파하, 41, 188
아다, 48, 170
하하, 48, 158
자파, 72, 180
카카, 81, 183
마파, 45, 144
다바, 40, 153
자하, 79, 179
마가, 78, 192
타나, 79, 178
자가, 41, 161
나나, 95, 140
아카, 78, 145
가사, 51, 160
카라, 85, 155
타아, 68, 160
카파, 52, 144
파차, 80, 177
자다, 69, 169
마라, 55, 186
사바, 76, 182
아파, 43, 189
카하, 78, 143
나마, 68, 176
나카, 94, 141
카자, 53, 170
사마, 54, 149
파바, 82, 153
바마, 77, 199
차다, 41, 154
나바, 96, 185
마아, 98, 165
타나, 44, 171
아카, 75, 176
카카, 95, 169
자나, 48, 197
바라, 89, 168
자나, 98, 158
아카, 56, 174
마라, 48, 152
마라, 54, 190
마자, 42, 155
마파, 58, 152
사라, 99, 164
차자, 95, 186
바나, 42, 181
카바, 50, 151
다카, 99, 158
가마, 42, 165
카타, 54, 196
나나, 86, 183
다자, 70, 190
가다, 85, 197
나가, 75, 146
타타, 54, 168
파마, 72, 188
파카, 71, 183
바파, 79, 198
하라, 47, 180
파아, 61, 173
자아, 69, 149
사마, 93, 176
다바, 52, 188
라나, 76, 178
타가, 64, 154
아사, 67, 173
타카, 86, 155
라가, 93, 159
차파, 89, 197
타바, 42, 181
마가, 50, 162
카나, 83, 185
나하, 83, 190
파라, 78, 180
아하, 77, 146
바바, 45, 145
카타, 55, 142
하바, 60, 182
가타, 77, 198
카타, 89, 170
가자, 64, 185
자바, 88, 169
다아, 43, 167
차타, 64, 196
아자, 45, 169
아자, 74, 173
자자, 88, 156
